Date,Campaign name,Ad set name,Ad name,External destination URL,Reach,Amount spent,Impressions,Post engagements,Page likes,Post reactions,Clicks to play video,Three-second video views,Video watches at 100%,Video average watch time,Post comments,Post shares
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_aggressive_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_30,1285,7.17,1339,127,,3,124,,8,2,,
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,1097,4,1165,124,,1,121,,3,2,,
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_fact_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_30,355,1.94,360,28,,1,26,,2,2,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_aggressive_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_30,1269,3.85,1317,145,,0,145,,8,2,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_fact_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_30,1058,3.12,1091,100,,0,100,,1,1,,
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,1097,6.96,1117,128,,0,126,,59,1,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,890,1.89,898,54,,0,54,,29,1,,
2018-04-29,2.38E+16,St. Joseph,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,1850,7.26,1888,209,,1,208,,34,2,,
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,399,2.21,408,36,,0,35,,11,2,,
2018-04-29,2.38E+16,St. Joseph,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,572,2.54,598,73,,0,73,,36,1,,
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,498,1.9,513,50,,1,48,,24,1,,
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,2149,7.28,2195,239,,1,236,,32,1,,
